Column1,Column2,Column3,Column4,Column5,Column6
N_sample,X,Y,Z,ID,label
25,162,98,952,8,circle
1,95,-47,996,9,circle
2,216,-112,993,9,circle
3,261,-114,1062,9,circle
4,227,-117,1010,9,circle
5,549,75,903,9,circle
6,451,101,1199,9,circle
7,717,522,365,9,circle
8,145,400,52,9,circle
9,-841,-133,974,9,circle
10,-547,-274,1433,9,circle
11,-182,-233,840,9,circle
12,299,-205,1150,9,circle
13,200,100,700,9,circle
14,656,443,329,9,circle
15,-89,327,119,9,circle
16,-280,94,570,9,circle
17,-384,-223,1354,9,circle
18,-60,-176,1062,9,circle
19,-29,-133,929,9,circle
20,-123,-122,1077,9,circle
21,-87,-75,839,9,circle
22,-145,-42,978,9,circle
23,-214,-73,991,9,circle
24,-129,-78,952,9,circle
25,-110,-79,966,9,circle
1,-76,-48,900,10,circle
2,369,-28,1055,10,circle
3,807,297,1102,10,circle
4,422,367,376,10,circle
5,51,271,8,10,circle
6,-201,-271,1566,10,circle
7,-285,-355,1080,10,circle
8,478,53,1684,10,circle
9,349,-16,546,10,circle
10,57,93,943,10,circle
11,38,62,1043,10,circle
12,141,93,1002,10,circle
13,126,61,929,10,circle
14,90,73,925,10,circle
15,159,58,978,10,circle
16,99,68,981,10,circle
17,102,70,936,10,circle
18,55,84,998,10,circle
19,123,58,898,10,circle
20,133,43,1021,10,circle
21,91,64,959,10,circle
22,150,51,1046,10,circle
23,106,58,939,10,circle
24,130,40,933,10,circle
25,103,38,1035,10,circle
1,202,-62,898,11,circle
2,202,-62,898,11,circle
3,235,-87,909,11,circle
4,-3,-133,1046,11,circle
5,149,-166,1129,11,circle
6,983,16,718,11,circle
7,806,424,340,11,circle
8,577,365,40,11,circle
9,24,390,94,11,circle
10,-931,-237,1076,11,circle
11,-708,81,1862,11,circle
12,202,-271,1036,11,circle
13,343,-213,1218,11,circle
14,186,-33,918,11,circle
15,61,36,780,11,circle
16,251,65,1001,11,circle
17,98,19,1016,11,circle
18,104,55,898,11,circle
19,180,57,999,11,circle
20,87,54,984,11,circle
21,128,69,941,11,circle
22,104,66,920,11,circle
23,163,65,902,11,circle
24,121,-2,1064,11,circle
25,114,15,948,11,circle
1,130,-34,898,12,circle
2,203,-42,930,12,circle
3,75,-55,992,12,circle
4,105,-98,960,12,circle
5,-4,-79,947,12,circle
6,129,-78,1080,12,circle
7,200,-51,1041,12,circle
8,271,142,837,12,circle
9,529,367,1122,12,circle
10,686,447,315,12,circle
11,143,529,375,12,circle
12,-8,403,402,12,circle
13,-235,178,835,12,circle
14,-781,-95,964,12,circle
15,-282,-291,1191,12,circle
16,618,-283,1502,12,circle
17,47,-96,909,12,circle
18,252,-89,941,12,circle
19,106,-31,871,12,circle
20,118,22,939,12,circle
21,-33,-17,985,12,circle
22,32,37,968,12,circle
23,109,48,948,12,circle
24,50,53,965,12,circle
25,3,39,957,12,circle
1,122,-29,971,13,circle
2,89,-20,1002,13,circle
3,69,-10,932,13,circle
4,111,-53,999,13,circle
5,79,-23,971,13,circle
6,258,-87,1259,13,circle
7,233,-143,1112,13,circle
8,286,2,821,13,circle
9,511,37,1009,13,circle
10,670,198,968,13,circle
11,583,299,723,13,circle
12,384,414,359,13,circle
13,197,603,570,13,circle
14,73,643,682,13,circle
15,0,576,488,13,circle
16,-92,480,580,13,circle
17,-139,355,752,13,circle
18,-151,36,880,13,circle
19,-178,-157,950,13,circle
20,-533,-118,1055,13,circle
21,-77,-203,1418,13,circle
22,181,-190,1069,13,circle
23,110,-165,957,13,circle
24,188,-84,882,13,circle
25,92,-71,971,13,circle
1,61,-67,1017,14,circle
2,49,-48,945,14,circle
3,110,-61,900,14,circle
4,29,-73,1020,14,circle
5,-42,-73,895,14,circle
6,329,-78,1360,14,circle
7,659,19,942,14,circle
8,611,374,652,14,circle
9,11,452,442,14,circle
10,21,511,331,14,circle
11,-343,223,380,14,circle
